,mean,slp,chg,pvalue
01-01,0.12,-0.003,-0.116,0.001
01-02,0.13,-0.002,-0.106,0.01
01-03,0.13,-0.002,-0.08,0.029
01-04,0.13,-0.002,-0.1,0.033
01-05,0.13,-0.002,-0.094,0.021
01-06,0.12,-0.002,-0.096,0.016
01-07,0.12,-0.003,-0.11,0.0
01-08,0.13,-0.003,-0.124,0.0
01-09,0.16,-0.002,-0.098,0.034
01-10,0.15,-0.002,-0.105,0.002
01-11,0.14,-0.002,-0.105,0.006
01-12,0.14,-0.003,-0.112,0.004
01-13,0.14,-0.003,-0.12,0.005
01-14,0.13,-0.003,-0.108,0.003
01-15,0.12,-0.002,-0.09,0.005
01-16,0.15,-0.002,-0.088,0.058
01-17,0.14,-0.002,-0.078,0.075
01-18,0.15,-0.002,-0.09,0.138
01-19,0.15,-0.003,-0.12,0.015
01-20,0.16,-0.003,-0.106,0.0
01-21,0.14,-0.002,-0.09,0.021
01-22,0.14,-0.002,-0.094,0.032
01-23,0.14,-0.002,-0.105,0.008
01-24,0.13,-0.002,-0.094,0.021
01-25,0.14,-0.002,-0.098,0.023
01-26,0.14,-0.002,-0.098,0.014
01-27,0.14,-0.003,-0.114,0.001
01-28,0.14,-0.002,-0.09,0.011
01-29,0.14,-0.002,-0.105,0.015
01-30,0.14,-0.003,-0.12,0.007
01-31,0.14,-0.002,-0.094,0.022
02-01,0.14,-0.002,-0.105,0.036
02-02,0.15,-0.002,-0.09,0.036
02-03,0.14,-0.002,-0.08,0.052
02-04,0.15,-0.002,-0.098,0.023
02-05,0.15,-0.002,-0.105,0.014
02-06,0.15,-0.002,-0.07,0.06
02-07,0.15,-0.002,-0.07,
02-08,0.14,-0.002,-0.068,0.002
02-09,0.13,-0.002,-0.084,0.048
02-10,0.13,-0.002,-0.08,0.106
02-11,0.14,-0.002,-0.064,0.037
02-12,0.15,-0.002,-0.084,0.056
02-13,0.15,-0.002,-0.094,0.024
02-14,0.14,-0.002,-0.078,0.152
02-15,0.14,-0.002,-0.076,0.171
02-16,0.15,-0.002,-0.096,0.046
02-17,0.14,-0.002,-0.086,0.067
02-18,0.14,-0.001,-0.052,0.196
02-19,0.13,-0.001,-0.046,0.207
02-20,0.14,-0.001,-0.048,0.288
02-21,0.14,-0.002,-0.082,0.131
02-22,0.14,-0.002,-0.068,0.176
02-23,0.14,-0.001,-0.06,0.16
02-24,0.13,-0.001,-0.06,0.193
02-25,0.12,-0.002,-0.068,0.093
02-26,0.13,-0.002,-0.066,0.085
02-27,0.13,-0.002,-0.084,0.035
02-28,0.13,-0.002,-0.096,0.036
03-01,0.13,-0.002,-0.09,0.043
03-02,0.13,-0.002,-0.086,0.01
03-03,0.13,-0.002,-0.076,0.118
03-04,0.13,-0.001,-0.046,0.27
03-05,0.13,-0.001,-0.036,0.413
03-06,0.13,-0.001,-0.042,0.314
03-07,0.12,-0.001,-0.054,0.223
03-08,0.12,-0.001,-0.058,0.099
03-09,0.14,-0.0,-0.02,0.593
03-10,0.14,0.0,0.016,0.644
03-11,0.15,0.0,0.0,1.0
03-12,0.17,-0.0,-0.018,0.818
03-13,0.16,-0.002,-0.084,0.234
03-14,0.17,-0.002,-0.088,0.232
03-15,0.16,-0.003,-0.124,0.017
03-16,0.16,-0.004,-0.162,0.018
03-17,0.16,-0.004,-0.16,0.009
03-18,0.16,-0.003,-0.126,0.04
03-19,0.16,-0.003,-0.132,0.028
03-20,0.18,-0.002,-0.1,0.073
03-21,0.16,-0.002,-0.094,0.051
03-22,0.14,-0.002,-0.09,0.017
03-23,0.14,-0.003,-0.124,0.003
03-24,0.15,-0.003,-0.12,0.008
03-25,0.15,-0.003,-0.128,0.004
03-26,0.15,-0.003,-0.12,0.015
03-27,0.15,-0.003,-0.105,0.007
03-28,0.15,-0.003,-0.108,0.0
03-29,0.14,-0.003,-0.132,0.0
03-30,0.14,-0.003,-0.12,0.002
03-31,0.15,-0.002,-0.08,0.014
04-01,0.16,-0.002,-0.08,0.034
04-02,0.15,-0.002,-0.072,0.125
04-03,0.14,-0.002,-0.07,0.117
04-04,0.14,-0.001,-0.062,0.156
04-05,0.14,-0.002,-0.102,0.018
04-06,0.14,-0.002,-0.09,0.014
04-07,0.14,-0.002,-0.084,0.028
04-08,0.14,-0.002,-0.072,0.095
04-09,0.14,-0.002,-0.074,0.069
04-10,0.14,-0.002,-0.076,0.063
04-11,0.14,-0.002,-0.088,0.032
04-12,0.14,-0.002,-0.08,0.01
04-13,0.14,-0.002,-0.086,0.053
04-14,0.14,-0.002,-0.08,0.02
04-15,0.14,-0.002,-0.072,0.012
04-16,0.14,-0.001,-0.062,0.046
04-17,0.14,-0.002,-0.07,0.113
04-18,0.14,-0.001,-0.038,0.401
04-19,0.14,-0.002,-0.068,0.231
04-20,0.15,-0.002,-0.092,0.008
04-21,0.15,-0.002,-0.066,0.143
04-22,0.14,-0.001,-0.056,0.157
