,mean,slp,chg,pvalue
01-01,4.41,0.043,1.786,0.043
01-02,4.39,0.021,0.892,0.537
01-03,4.58,0.022,0.924,0.471
01-04,4.53,0.024,1.002,0.537
01-05,4.81,0.026,1.104,0.537
01-06,4.56,0.021,0.872,0.593
01-07,4.87,0.018,0.756,0.63
01-08,4.53,0.015,0.616,0.668
01-09,4.36,0.014,0.608,0.537
01-10,4.22,0.018,0.74,0.551
01-11,4.05,0.031,1.316,0.449
01-12,4.27,0.029,1.232,0.336
01-13,4.7,0.077,3.255,0.004
01-14,4.33,0.063,2.65,0.021
01-15,4.36,0.07,2.94,0.057
01-16,4.5,0.052,2.205,0.121
01-17,3.93,0.036,1.512,0.182
01-18,3.82,0.032,1.338,0.132
01-19,3.989,0.045,1.875,0.175
01-20,4.22,0.035,1.47,0.208
01-21,4.33,0.026,1.096,0.293
01-22,4.27,0.021,0.878,0.264
01-23,4.16,0.026,1.108,0.261
01-24,3.99,0.014,0.604,0.614
01-25,4.02,0.011,0.476,0.794
01-26,4.19,-0.005,-0.224,0.827
01-27,3.88,-0.004,-0.182,0.876
01-28,3.85,0.008,0.34,0.859
01-29,3.76,0.012,0.49,0.691
01-30,4.3,0.015,0.65,0.714
01-31,3.82,0.018,0.766,0.645
02-01,3.91,0.007,0.31,0.859
02-02,3.85,-0.006,-0.252,0.883
02-03,3.82,-0.022,-0.91,0.426
02-04,4.44,-0.014,-0.592,0.63
02-05,4.58,-0.005,-0.21,0.908
02-06,4.47,0.002,0.07,0.925
02-07,4.5,0.002,0.084,0.908
02-08,4.02,0.0,0.016,0.989
02-09,3.28,0.002,0.096,0.901
02-10,3.74,0.007,0.31,0.788
02-11,3.42,0.007,0.28,0.738
02-12,3.37,-0.002,-0.08,0.942
02-13,3.68,-0.011,-0.466,0.706
02-14,3.79,-0.016,-0.66,0.623
02-15,3.79,-0.017,-0.73,0.476
02-16,3.88,-0.015,-0.622,0.554
02-17,3.82,0.004,0.172,0.933
02-18,3.82,-0.006,-0.27,0.818
02-19,3.99,-0.006,-0.272,0.791
02-20,4.22,-0.004,-0.158,0.876
02-21,4.08,-0.031,-1.306,0.277
02-22,4.19,-0.037,-1.56,0.186
02-23,4.13,-0.039,-1.628,0.121
02-24,4.27,-0.038,-1.586,0.086
02-25,4.98,-0.04,-1.659,0.32
02-26,4.7,-0.023,-0.986,0.51
02-27,4.67,-0.008,-0.346,0.886
02-28,5.01,0.027,1.142,0.483
03-01,4.7,0.012,0.494,0.61
03-02,4.41,0.005,0.19,0.775
03-03,4.47,0.02,0.84,0.503
03-04,4.47,0.018,0.742,0.358
03-05,5.26,0.009,0.399,0.668
03-06,5.46,0.003,0.132,0.862
03-07,4.56,-0.005,-0.198,0.859
03-08,5.43,-0.01,-0.434,0.83
03-09,5.49,-0.02,-0.84,0.54
03-10,5.52,-0.029,-1.208,0.551
03-11,6.0,-0.037,-1.574,0.211
03-12,6.06,-0.062,-2.62,0.221
03-13,6.06,-0.059,-2.485,0.12
03-14,6.82,-0.071,-2.982,0.187
03-15,6.4,-0.059,-2.48,0.272
03-16,6.03,-0.021,-0.892,0.615
03-17,5.94,-0.008,-0.324,0.819
03-18,6.82,-0.032,-1.356,0.638
03-19,7.1,-0.024,-1.002,0.608
03-20,7.1,-0.037,-1.564,0.439
03-21,6.99,-0.052,-2.2,0.286
03-22,6.82,-0.088,-3.714,0.091
03-23,6.88,-0.095,-3.99,0.137
03-24,7.19,-0.1,-4.2,0.022
03-25,7.13,-0.1,-4.2,0.037
03-26,7.47,-0.13,-5.45,0.045
03-27,8.8,-0.164,-6.9,0.017
03-28,9.17,-0.145,-6.078,0.032
03-29,9.54,-0.06,-2.534,0.31
03-30,9.57,-0.04,-1.694,0.572
03-31,9.71,-0.047,-1.992,
04-01,10.02,-0.023,-0.954,
