,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.03714375,-65.99560000000001,0.509619787391776,0.0,43.0,1.56,0.145,7.512,9.072
01-02,0.05367241379310344,-99.19442758620687,0.39657972785647133,0.0,43.0,2.255,0.191,7.023,9.278
01-03,0.07438857142857146,-140.8531428571429,0.2857055748050956,0.0,43.0,3.124,0.254,6.362,9.486
01-04,0.09621999999999993,-183.21419999999986,0.24534706650602778,0.0,43.0,4.041,0.303,7.205,11.246
01-05,0.1298470588235294,-249.5627176470588,0.19078879632701518,0.0,43.0,5.453,0.396,7.405,12.858
01-06,0.10511428571428567,-201.20087142857133,0.23694499950044023,0.0,43.0,4.415,0.329,6.82,11.235
01-07,0.15564999999999998,-301.87609999999995,0.11166721889060982,0.0,43.0,6.538,0.41,6.155,12.693
01-08,0.11428846153846149,-220.31332307692298,0.16080587689971537,0.0,43.0,4.8,0.33,5.864,10.664
01-09,0.13155675675675677,-253.37831351351355,0.1003496253370566,0.0,43.0,5.525,0.434,6.973,12.498
01-10,0.0914307692307692,-172.3905384615384,0.2410944936951409,0.0,43.0,3.84,0.317,8.551,12.391
01-11,0.09118888888888887,-171.68037777777775,0.20537519475844745,0.0,43.0,3.83,0.307,8.782,12.612
01-12,0.06452400000000001,-118.86000000000003,0.47663412297188756,0.0,43.0,2.71,0.191,8.833,11.543
01-13,0.09988235294117644,-188.7277058823529,0.20167946846619778,0.0,43.0,4.196,0.315,8.939,13.135
01-14,0.08054615384615381,-150.31000769230764,0.2764169138485879,0.0,43.0,3.383,0.266,9.091,12.474
01-15,0.04402222222222226,-77.63004444444451,0.5507564435917727,0.0,43.0,1.849,0.133,9.49,11.339
01-16,0.06199047619047615,-114.1042523809523,0.3570202042646202,0.0,43.0,2.603,0.213,8.575,11.178
01-17,0.09096428571428573,-172.33487142857146,0.1428338043489228,0.0,43.0,3.821,0.306,7.683,11.504
01-18,0.08047812500000001,-150.25885000000002,0.3050748813375779,0.0,43.0,3.38,0.195,9.007,12.387
01-19,0.07836923076923082,-146.43726153846163,0.3150507838438277,0.0,43.0,3.292,0.205,8.655,11.947
01-20,0.06809687500000006,-126.62835000000013,0.22470123052239233,0.0,43.0,2.86,0.225,8.135,10.995
01-21,0.10033636363636371,-191.3620272727274,0.06245538489002045,1.0,43.0,4.214,0.337,7.204,11.418
01-22,0.1096625,-210.1558,0.04449889083488601,2.0,43.0,4.606,0.364,6.866,11.472
01-23,0.08822941176470585,-167.00662352941168,0.15465002139087547,0.0,43.0,3.706,0.29,7.599,11.305
01-24,0.08875909090909091,-167.2735818181818,0.2328466829852629,0.0,43.0,3.728,0.275,8.381,12.109
01-25,0.07358000000000006,-136.97200000000012,0.3793495934816995,0.0,43.0,3.09,0.243,8.643,11.733
01-26,0.05235500000000002,-95.08800000000005,0.5369091838397673,0.0,43.0,2.198,0.178,8.523,10.721
01-27,0.02515555555555555,-40.8872111111111,0.7141339337705952,0.0,43.0,1.056,0.091,8.896,9.952
01-28,0.004589189189189224,-0.03747837837844692,0.9832989954205122,0.0,43.0,0.192,0.015,9.045,9.237
01-29,0.022639999999999903,-35.09199999999981,0.8342074867818816,0.0,43.0,0.95,0.068,9.713,10.663
01-30,0.030872727272727305,-50.99145454545461,0.67549619466395,0.0,43.0,1.296,0.087,10.106,11.402
01-31,0.034903333333333314,-59.250766666666635,0.5300529217566403,0.0,43.0,1.466,0.102,9.823,11.289
02-01,0.05356785714285715,-96.3251142857143,0.5719835030644609,0.0,43.0,2.25,0.156,9.686,11.936
02-02,0.006530769230769178,-2.6754384615383557,0.9166411042644744,0.0,43.0,0.274,0.02,10.249,10.523
02-03,0.013265625000000003,-16.513050000000007,0.8505645069858898,0.0,43.0,0.557,0.048,9.74,10.297
02-04,0.019456250000000008,-29.37540000000002,0.6985458285655686,0.0,43.0,0.817,0.069,9.129,9.946
02-05,0.018866666666666712,-28.53583333333343,0.6678462748782503,0.0,43.0,0.793,0.068,8.801,9.594
02-06,0.02201111111111113,-35.24922222222226,0.6153895461067254,0.0,43.0,0.924,0.071,8.311,9.235
02-07,0.03513103448275861,-61.998468965517226,0.5437663707039468,0.0,43.0,1.475,0.122,7.526,9.001
02-08,0.04319473684210524,-78.15417368421048,0.4702000697036357,0.0,43.0,1.814,0.16,7.328,9.142
02-09,0.06367499999999993,-119.25619999999985,0.27636430617703,0.0,43.0,2.674,0.247,6.757,9.431
02-10,0.06966153846153844,-131.0594769230769,0.20917019225053202,0.0,43.0,2.925,0.292,6.801,9.726
02-11,0.040428571428571355,-72.36714285714271,0.4263465013179992,0.0,43.0,1.698,0.177,7.641,9.339
02-12,0.03335357142857144,-58.33034285714289,0.5791014739018652,0.0,43.0,1.401,0.139,7.676,9.077
02-13,-0.007074999999999998,23.036199999999994,0.8752211694047105,-0.0,43.0,-0.297,-0.03,9.035,8.738
02-14,-0.010612499999999914,29.064099999999826,0.8342074867818816,-0.0,43.0,-0.446,-0.046,8.062,7.616
02-15,0.0,8.5183,1.0,0.0,43.0,0.0,0.0,8.518,8.518
02-16,0.006831034482758657,-3.983468965517316,0.826000413962166,0.0,43.0,0.287,0.024,9.535,9.822
02-17,0.007447368421052664,-5.782136842105329,0.8505645069858898,0.0,43.0,0.313,0.029,8.956,9.269
02-18,0.0,8.659799999999999,0.9916485828791297,0.0,43.0,0.0,0.0,8.66,8.66
02-19,-0.014149999999999973,36.30889999999995,0.8752528040453418,-0.0,43.0,-0.594,-0.05,8.306,7.712
02-20,-0.014149999999999996,35.94099999999999,0.8670185603843512,-0.0,43.0,-0.594,-0.054,7.938,7.344
02-21,-0.02099677419354839,49.549648387096774,0.729810371243607,-0.0,43.0,-0.882,-0.085,7.997,7.115
02-22,-0.013625925925925915,34.75135185185183,0.80168260643475,-0.0,43.0,-0.573,-0.053,7.786,7.213
02-23,-0.03773333333333362,82.93786666666725,0.5163854653950608,-0.0,43.0,-1.585,-0.155,8.264,6.679
02-24,-0.04244999999999997,92.05989999999993,0.4574298871434581,-0.0,43.0,-1.783,-0.158,8.051,6.268
02-25,-0.09728124999999999,201.92049999999998,0.13725539302831113,-0.0,43.0,-4.086,-0.388,9.401,5.315
02-26,-0.12735000000000007,262.14290000000017,0.06395680068790432,-1.0,43.0,-5.348,-0.533,10.117,4.769
02-27,-0.09395599999999994,195.15679999999986,0.10931114617780935,-0.0,43.0,-3.946,-0.384,9.218,5.272
02-28,-0.08018333333333334,167.30016666666668,0.11889391736674293,-0.0,43.0,-3.367,-0.352,8.617,5.25
03-01,-0.08313125000000005,173.4507000000001,0.09396676777862623,-1.0,43.0,-3.492,-0.388,8.934,5.442
03-02,-0.06603333333333333,139.59446666666668,0.24954776716606664,-0.0,43.0,-2.774,-0.292,8.915,6.141
03-03,-0.08867333333333333,184.76126666666664,0.13721234475748667,-0.0,43.0,-3.725,-0.377,9.277,5.552
03-04,-0.09622,199.5716,0.03922670935068773,-2.0,43.0,-4.041,-0.41,9.152,5.111
03-05,-0.0929857142857143,193.3294285714286,0.07685964125681233,-1.0,43.0,-3.906,-0.398,9.311,5.405
03-06,-0.09126750000000002,189.69490000000002,0.05033091476016227,-1.0,43.0,-3.834,-0.373,9.077,5.243
03-07,-0.09796153846153849,203.08297692307696,0.03187306752171204,-2.0,43.0,-4.114,-0.437,9.217,5.103
03-08,-0.09856206896551727,204.3972379310345,0.02947714141101332,-2.0,43.0,-4.14,-0.475,9.343,5.203
03-09,-0.09622000000000011,199.9678000000002,0.031031843680591198,-2.0,43.0,-4.041,-0.413,9.548,5.507
03-10,-0.08747272727272729,182.10535454545456,0.025764364324166955,-2.0,43.0,-3.674,-0.353,8.997,5.323
03-11,-0.08197241379310342,172.12352758620685,0.07182124920032962,-1.0,43.0,-3.443,-0.362,9.9,6.457
03-12,-0.07668387096774194,161.29174193548388,0.13725539302831113,-0.0,43.0,-3.22,-0.337,9.534,6.314
03-13,-0.0503111111111111,109.11222222222219,0.4263465013179992,-0.0,43.0,-2.114,-0.19,9.547,7.433
03-14,-0.03246176470588235,73.3286294117647,0.5719413997548703,-0.0,43.0,-1.364,-0.119,9.087,7.723
03-15,-0.010426315789473646,29.20113157894729,0.8752528040453418,-0.0,43.0,-0.437,-0.041,8.567,8.13
03-16,-0.008843749999999984,25.97939999999997,0.9000604006879467,-0.0,43.0,-0.372,-0.038,8.478,8.106
03-17,-0.004716666666666776,17.13093333333355,0.933269088464004,-0.0,43.0,-0.198,-0.022,7.797,7.599
03-18,-0.002358333333333339,12.75386666666668,0.9249550961404314,-0.0,43.0,-0.099,-0.01,8.087,7.988
03-19,0.003396000000000008,1.0187999999999828,0.9415976652703433,0.0,43.0,0.143,0.012,7.739,7.882
03-20,0.015722222222222193,-23.378944444444386,0.6602298753375493,0.0,43.0,0.661,0.066,7.735,8.396
03-21,-0.004527999999999999,16.979999999999997,0.9166411042644744,-0.0,43.0,-0.19,-0.02,8.019,7.829
03-22,-0.012577777777777775,32.54185555555555,0.8178470526451986,-0.0,43.0,-0.528,-0.056,7.65,7.122
03-23,-0.02373548387096772,55.111967741935445,0.5508000891045939,-0.0,43.0,-0.996,-0.109,8.139,7.143
03-24,-0.018009090909090922,43.74408181818184,0.6375394971980439,-0.0,43.0,-0.756,-0.086,8.104,7.348
03-25,-0.014150000000000329,35.96930000000066,0.6831461161779551,-0.0,43.0,-0.594,-0.069,7.966,7.372
03-26,-0.008254166666666674,24.319133333333347,0.80168260643475,-0.0,43.0,-0.347,-0.041,7.984,7.637
03-27,-0.013693548387096778,34.77339677419356,0.5862615500921726,-0.0,43.0,-0.575,-0.071,7.674,7.099
03-28,-0.009433333333333552,26.168066666667105,0.8341895890829354,-0.0,43.0,-0.397,-0.05,7.5,7.103
03-29,0.0021769230769230594,3.2588538461538805,0.8917362014288222,0.0,43.0,0.091,0.012,7.567,7.658
03-30,0.012485294117647061,-17.584288235294125,0.7614729833670288,0.0,43.0,0.524,0.068,7.124,7.648
03-31,0.01347619047619045,-19.481180952380903,0.7774736768910839,0.0,43.0,0.566,0.073,7.188,7.754
04-01,0.007337037037037043,-6.834974074074086,0.7935693123522187,0.0,43.0,0.308,0.039,7.685,7.993
04-02,0.005659999999999998,-3.3676999999999975,0.8505483266154852,0.0,43.0,0.238,0.03,7.833,8.071
04-03,-0.017873684210526358,44.03926842105271,0.5935036631544905,-0.0,43.0,-0.75,-0.092,8.667,7.917
04-04,-0.009433333333333346,26.84726666666669,0.8178666624076312,-0.0,43.0,-0.397,-0.047,8.179,7.782
04-05,-0.01482380952380953,37.74141904761906,0.6908295578764017,-0.0,43.0,-0.623,-0.071,8.405,7.782
04-06,-0.01286363636363642,33.53807272727284,0.7376777842621929,-0.0,43.0,-0.54,-0.062,8.081,7.541
04-07,-0.0016647058823528755,11.02701176470575,0.941591278442002,-0.0,43.0,-0.07,-0.008,7.733,7.663
04-08,0.0014894736842105143,4.662052631578971,0.9083253099280109,0.0,43.0,0.062,0.007,7.61,7.672
04-09,0.003329411764705855,0.9538764705882894,0.9166320041865719,0.0,43.0,0.14,0.016,7.543,7.683
04-10,-0.004716666666666629,17.951633333333255,0.8834719025356139,-0.0,43.0,-0.198,-0.023,8.617,8.419
04-11,0.0,8.49,0.9832971658083867,0.0,43.0,0.0,0.0,8.49,8.49
04-12,-0.005659999999999954,19.385499999999908,0.8341895890829354,-0.0,43.0,-0.237,-0.028,8.184,7.947
04-13,-0.005660000000000132,19.413800000000265,0.891751923947327,-0.0,43.0,-0.238,-0.027,8.213,7.975
04-14,-0.014149999999999984,36.36549999999997,0.7534884700160813,-0.0,43.0,-0.595,-0.063,8.363,7.768
04-15,-0.019456250000000008,47.20440000000002,0.6007457782223744,-0.0,43.0,-0.817,-0.088,8.7,7.883
04-16,-0.033016666666666694,74.7780333333334,0.408222946531301,-0.0,43.0,-1.387,-0.143,9.438,8.051
04-17,-0.024396551724137915,57.67930344827583,0.529902667171892,-0.0,43.0,-1.025,-0.103,9.399,8.374
04-18,-0.014149999999999885,36.84659999999977,0.8587843175062668,-0.0,43.0,-0.595,-0.061,8.844,8.249
04-19,0.007806896551724136,-7.0954931034482716,0.8179058629425171,0.0,43.0,0.328,0.033,8.354,8.682
04-20,0.020581818181818177,-32.33403636363636,0.6678462748782503,0.0,43.0,0.865,0.082,8.397,9.262
04-21,0.02358333333333335,-38.2804666666667,0.6153379268451009,0.0,43.0,0.99,0.096,8.391,9.381
04-22,0.009728125000000032,-10.654950000000063,0.7935693123522187,0.0,43.0,0.409,0.04,8.597,9.006
04-23,-0.0018258064516129171,13.613212903225834,0.9916494976852062,-0.0,43.0,-0.077,-0.007,10.0,9.923
04-24,0.005957894736842104,-2.0107894736842074,0.8260379269556641,0.0,43.0,0.25,0.023,9.78,10.03
04-25,0.015238461538461551,-21.053023076923104,0.6376255155715322,0.0,43.0,0.64,0.061,9.104,9.744
04-26,0.025240540540540576,-40.91568108108115,0.44485679135035916,0.0,43.0,1.06,0.1,9.035,10.095
04-27,0.022494871794871793,-35.141343589743585,0.5577465185874027,0.0,43.0,0.945,0.086,9.376,10.321
