,mean,slp,chg,pvalue
01-01,5.139,-0.043,-1.799,0.036
01-02,6.237,-0.016,-0.68,0.41
01-03,6.618,-0.025,-1.035,0.24
01-04,6.409,-0.042,-1.782,0.021
01-05,5.836,-0.048,-2.008,0.077
01-06,5.386,-0.059,-2.495,0.021
01-07,5.134,-0.072,-3.024,0.005
01-08,5.192,-0.088,-3.685,0.0
01-09,5.565,-0.1,-4.194,0.0
01-10,5.2,-0.1,-4.196,0.0
01-11,5.866,-0.128,-5.37,0.0
01-12,6.455,-0.13,-5.442,0.0
01-13,6.492,-0.054,-2.283,0.001
01-14,5.852,-0.017,-0.727,0.333
01-15,5.892,-0.005,-0.217,0.717
01-16,6.38,0.0,0.002,1.0
01-17,6.286,0.031,1.291,0.317
01-18,6.284,0.008,0.346,0.724
01-19,6.018,-0.013,-0.559,0.806
01-20,6.148,-0.013,-0.541,0.752
01-21,5.366,-0.03,-1.239,0.121
01-22,5.908,-0.015,-0.625,0.369
01-23,5.16,-0.009,-0.365,0.77
01-24,5.312,-0.005,-0.23,0.827
01-25,6.139,0.018,0.742,0.64
01-26,6.517,0.094,3.968,0.108
01-27,7.143,0.106,4.458,0.117
01-28,6.994,0.116,4.877,0.078
01-29,6.35,0.111,4.661,0.001
01-30,6.068,0.076,3.172,0.0
01-31,6.207,0.064,2.692,0.0
02-01,6.19,0.04,1.672,0.049
02-02,6.044,0.029,1.2,0.176
02-03,5.684,0.048,2.023,0.025
02-04,5.261,0.042,1.756,0.022
02-05,4.992,0.043,1.805,0.002
02-06,4.82,0.02,0.85,0.144
02-07,5.157,0.004,0.184,0.884
02-08,5.075,-0.0,-0.01,1.0
02-09,4.712,-0.016,-0.678,0.379
02-10,4.886,-0.017,-0.697,0.067
02-11,5.359,-0.022,-0.922,0.221
02-12,6.332,0.035,1.477,0.278
02-13,6.682,0.022,0.943,0.322
02-14,5.95,0.02,0.834,0.311
02-15,6.248,0.005,0.217,0.761
02-16,5.616,0.002,0.09,0.8
02-17,5.226,0.001,0.057,0.933
02-18,5.5,0.0,0.016,1.0
02-19,5.705,-0.031,-1.29,0.375
02-20,5.353,-0.033,-1.4,0.224
02-21,5.344,-0.051,-2.139,0.061
02-22,4.955,-0.06,-2.51,0.009
02-23,4.3,-0.09,-3.761,0.0
02-24,4.096,-0.078,-3.276,0.0
02-25,3.923,-0.065,-2.737,0.0
02-26,4.902,-0.085,-3.589,0.0
02-27,5.21,-0.11,-4.601,0.0
02-28,4.956,-0.117,-4.911,0.0
03-01,4.922,-0.115,-4.815,0.0
03-02,5.002,-0.095,-3.993,0.0
03-03,4.87,-0.079,-3.309,0.0
03-04,4.651,-0.058,-2.428,0.0
03-05,4.265,-0.059,-2.467,0.0
03-06,4.05,-0.07,-2.919,0.0
03-07,4.334,-0.071,-2.999,0.001
03-08,4.54,-0.07,-2.936,0.001
03-09,4.574,-0.063,-2.639,0.094
03-10,4.816,-0.069,-2.917,0.01
03-11,4.94,-0.07,-2.959,0.015
03-12,5.451,-0.047,-1.963,0.211
03-13,5.944,-0.042,-1.768,0.393
03-14,6.246,-0.028,-1.176,0.551
03-15,6.613,-0.014,-0.582,0.632
03-16,7.043,-0.014,-0.604,0.346
03-17,6.82,-0.019,-0.785,0.266
03-18,6.501,-0.058,-2.418,0.006
03-19,6.524,-0.092,-3.86,0.0
03-20,5.717,-0.075,-3.16,0.001
03-21,5.966,-0.077,-3.219,0.002
03-22,6.235,-0.091,-3.817,0.0
03-23,6.274,-0.072,-3.026,0.003
03-24,6.402,-0.056,-2.371,0.012
03-25,6.409,-0.061,-2.572,0.002
03-26,6.966,-0.038,-1.611,0.024
03-27,6.588,-0.025,-1.051,0.267
03-28,7.36,-0.03,-1.268,0.138
03-29,8.462,-0.015,-0.617,0.692
03-30,9.214,-0.002,-0.101,0.931
03-31,10.271,-0.058,-2.436,0.111
04-01,9.738,-0.043,-1.817,0.13
04-02,8.725,-0.03,-1.26,0.251
04-03,8.606,-0.037,-1.553,0.296
04-04,8.716,-0.067,-2.833,0.028
04-05,8.602,-0.078,-3.269,0.006
04-06,8.793,-0.064,-2.68,0.042
04-07,9.446,0.01,0.431,0.804
04-08,10.556,0.011,0.473,0.797
04-09,9.542,0.056,2.331,0.383
04-10,9.586,0.084,3.521,0.011
04-11,10.809,0.118,4.972,0.0
04-12,10.906,0.112,4.702,0.0
04-13,11.414,0.128,5.381,0.005
04-14,12.308,0.016,0.661,0.692
04-15,12.782,-0.036,-1.506,0.495
04-16,13.555,-0.09,-3.792,0.034
04-17,14.509,0.017,0.705,0.533
04-18,13.762,0.025,1.05,0.604
04-19,14.956,0.013,0.533,0.674
04-20,17.566,0.031,1.293,0.415
04-21,18.594,0.088,3.715,0.006
04-22,16.682,0.064,2.7,0.012
04-23,17.508,0.017,0.717,0.829
04-24,16.185,0.07,2.922,0.307
04-25,17.233,0.067,2.794,0.153
04-26,18.22,0.14,5.888,0.024
04-27,20.545,0.191,8.029,0.0
04-28,21.844,0.189,7.935,0.003
04-29,21.11,0.02,0.84,0.826
04-30,21.036,-0.029,-1.225,0.496
05-01,20.176,-0.149,-6.258,0.002
05-02,20.154,0.007,0.301,0.824
05-03,21.264,0.028,1.188,0.713
05-04,20.359,0.018,0.764,0.796
05-05,22.38,-0.041,-1.705,0.861
05-06,24.212,-0.075,-3.15,0.18
05-07,25.27,0.041,1.733,0.573
05-08,24.697,0.094,3.938,0.324
05-09,23.0,0.2,8.4,0.029
05-10,23.496,0.192,8.043,0.008
05-11,25.444,0.187,7.863,0.035
05-12,25.546,0.092,3.864,0.158
05-13,24.673,0.048,1.995,0.314
05-14,26.875,0.15,6.3,0.001
05-15,27.941,0.282,11.858,0.0
05-16,29.543,0.187,7.867,0.0
05-17,33.085,0.27,11.336,0.0
05-18,31.164,0.228,9.572,0.001
05-19,29.714,0.128,5.372,0.001
05-20,32.956,0.112,4.717,0.112
05-21,36.186,0.172,7.212,0.0
05-22,35.4,0.5,21.0,0.0
05-23,32.792,0.484,20.318,0.0
05-24,35.658,0.018,0.741,0.757
05-25,36.11,-0.179,-7.519,0.011
05-26,37.74,0.079,3.335,0.315
05-27,36.988,0.175,7.37,0.036
05-28,41.445,-0.011,-0.465,0.856
05-29,40.092,-0.215,-9.031,0.024
05-30,34.883,-0.233,-9.8,0.0
05-31,38.198,-0.303,-12.743,0.003
06-01,35.847,-0.106,-4.464,0.312
06-02,33.001,0.002,0.066,1.0
06-03,34.859,-0.182,-7.654,0.095
06-04,31.662,-0.376,-15.781,0.0
06-05,35.13,-0.438,-18.415,0.002
06-06,34.225,-0.25,-10.5,0.006
06-07,34.769,-0.162,-6.786,0.12
06-08,33.9,-0.1,-4.2,0.269
06-09,34.284,-0.232,-9.727,0.048
06-10,29.542,-0.216,-9.066,0.024
06-11,33.168,-0.264,-11.092,0.001
06-12,32.539,-0.221,-9.3,0.008
06-13,33.176,-0.349,-14.671,0.001
06-14,31.455,-0.39,-16.386,0.002
06-15,30.734,-0.331,-13.919,0.001
06-16,27.15,-0.2,-8.4,0.104
06-17,28.04,-0.021,-0.883,0.74
06-18,30.14,-0.02,-0.844,0.75
06-19,31.211,-0.078,-3.266,0.075
06-20,28.25,-0.1,-4.2,0.38
06-21,29.302,-0.195,-8.209,0.09
06-22,28.318,-0.265,-11.113,0.001
